"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"CLCA4",4464.76751187414,9665.65298163197,5.05745424481136,1.35493982203037e-06,0.00119012986913249,1.01357890395284
"CLCN1",288.983989471792,1408.95322818548,4.97416454906988,1.95220364445551e-06,0.00164019057501993,0.841029894528645
"SLC6A9",611.059894957238,4508.2494659521,4.95206738438581,2.14945548097925e-06,0.00170752688169345,0.795506757234755
"RARRES1",2261.61693031047,8755.02074114729,4.94429366028573,2.22334615152381e-06,0.00170752688169345,0.779517649069132
"PLAAT2",624.640151223309,4597.86410132524,4.93298830234032,2.33522371175853e-06,0.00170752688169345,0.756288732458459
"HYPK",39.7385442364059,189.354711085223,4.92804895162479,2.38580137682277e-06,0.00170752688169345,0.746148933275292
"PF4",4.9999439492732,16.3291325042168,4.91201321692349,2.55743990606711e-06,0.00176499888374432,0.713267675491242
"TMEM217B",2.82036250523419,3.74306800979291,4.89717800050938,2.72685936705972e-06,0.00181702863479524,0.682899889673941
"CCDC120",294.67470114255,592.431682896776,4.88569301118197,2.86544836308452e-06,0.00184573080560817,0.659424428068161
"ALDH3B2",2.63943291260394,10.0810616361945,4.8327708821351,3.59738956316793e-06,0.00224245019092442,0.551642692966927
"ADGRF1",131.420260573069,297.539387080942,4.80618184240101,4.03056456535895e-06,0.00243395717690614,0.497737033025503
"PDZK1IP1",1646.15714302805,5538.19235256168,4.78783448335672,4.3585040386178e-06,0.00255223430431062,0.460637333566233
"HK2",962.14594101813,7292.61880614428,4.77623466948516,4.57902059202012e-06,0.00260249982118226,0.437222857220875
"CBLIF",3.80600586229584,11.6755870264502,4.75579151819164,4.99422628181468e-06,0.00275738367627963,0.396036084359589
"UNC5CL",2437.58730489921,20803.630248407,4.69258091947223,6.52177375099734e-06,0.00334309940039467,0.269324371766658
"TRIM50",29.6991685110969,166.513166954484,4.68918250041175,6.61558795521277e-06,0.00334309940039467,0.262539544376315
"REG1B",128837.307486032,248637.535464086,4.68600191457765,6.7045703515201e-06,0.00334309940039467,0.256192189490197
"APOL1",2049.63514577974,13497.6304806297,4.68449628140904,6.74709566422024e-06,0.00334309940039467,0.253188333200965
"SLC30A2",139.040959023748,550.609161291731,4.63892072073403,8.16516671788565e-06,0.00394459204141056,0.162527534104878
"MICOS10-NBL1",389.473299455644,1449.64574449979,4.62637357184554,8.6036185615169e-06,0.00405503231909153,0.137659287135334
"KLK12",129.229198540408,858.478012042901,4.59536955138253,9.78679830482774e-06,0.00450285929624979,0.0763802253371297
"CEACAM5",7210.6566666268,37410.0457418232,4.5890329041203,1.00472564058429e-05,0.00451519029736067,0.0638859591154803
"RNF186",163.644508942996,1386.79176476108,4.57842717806153,1.04982337759377e-05,0.00460254233797659,0.0429970894583809
"ASIC2",14.5543104624033,110.077176479732,4.56849466287056,1.09382637756769e-05,0.00460254233797659,0.0234602917076003
"TMPRSS3",100.588997068852,552.075848822542,4.56809878684011,1.0956165780735e-05,0.00460254233797659,0.022682146820018
"HNRNPA1L3",47.2378493150684,201.877471652835,4.55922015458225,1.13651793209298e-05,0.00467278138718398,0.00524065717205424
"PLAUR",198.894260453434,1679.4016709447,4.54274939972596,1.21632994005951e-05,0.00489674161702293,-0.0270611720778566
"ASS1",6840.62198863435,70763.9655072026,4.50837150776538,1.40070246561698e-05,0.0055239131521597,-0.0942546334195171
"GPX2",2904.15695830594,20254.9183097297,4.4968553841419,1.46828399123593e-05,0.00567462396932862,-0.116694343231849
"UCN2",1.87362995752827,4.92621686652296,4.46983183073781,1.63943832948657e-05,0.00619562361475089,-0.169213546022808
"LRG1",264.12305401687,1718.46962748616,4.46570475256478,1.66721397209194e-05,0.00619562361475089,-0.17721730732056
"DUOXA1",17.2689449063827,86.0113944409053,4.45076304823497,1.77161516704206e-05,0.00645937575243789,-0.206156197227453
"KCNJ6",10.5101393790752,71.8941381433909,4.41954351613624,2.01045643309319e-05,0.00719445557649868,-0.266428536095483
"PI3",745.015516659687,1373.95292635191,4.41321977048653,2.06247574377279e-05,0.00724641477684824,-0.278605121519499
"SLCO2A1",631.508027038342,7702.3954672297,4.40134039407284,2.16371987459394e-05,0.00746637908154522,-0.301449936353858
"SLC52A1",1695.36391457801,13271.5172407637,4.39679093510274,2.20374628912954e-05,0.00747108654230514,-0.310188680871009
"SERPINB7",7.56738649279177,7.02067522505391,4.38310618245266,2.32848683671626e-05,0.00775787579874223,-0.336440748482115
"ACRBP",-95.9281004964972,1052.73773752363,-4.37493081393534,2.40622000025818e-05,0.0078450187084466,-0.352099471504961
"TAC1",82.1279502303045,299.07814571556,4.37188262054233,2.43583689974537e-05,0.0078450187084466,-0.357933147172946
"GBP2",2558.60418878986,25442.6562673768,4.35514236629194,2.60484309667026e-05,0.0082518013114846,-0.389925301341484
"NPIPB15",604.536013100435,2946.08832932777,4.32609138257671,2.92524014227232e-05,0.00911731298536619,-0.445260361847829
"TECTB",1.82305437578513,5.60091458103098,4.32078949275964,2.98766274761739e-05,0.00916406268808863,-0.455333837640723
"CEACAM20",2387.63806376744,26489.6866276268,4.31434803719513,3.06522539678308e-05,0.0092550649324119,-0.467561895071767
"TSPAN1",4225.47081940543,45373.6746638686,4.27886050328067,3.52845199215599e-05,0.0104898163532957,-0.534720270184991
"DPP10",30.6993944487647,140.706334781806,4.25751021596668,3.83877363297408e-05,0.0110913684224158,-0.574953056306813
"KRT9",5.25722318597834,26.3644631170071,4.25555234879283,3.86850678739233e-05,0.0110913684224158,-0.578635997243843
"COL28A1",73.6253553867321,443.484786370272,4.25329995244051,3.90298619708278e-05,0.0110913684224158,-0.582871623851253
"PLAC8",1328.89213662738,11653.0247764988,4.247943955394,3.9861635097869e-05,0.0111635686468293,-0.592937746380995
"LYPD5",23.2347023987557,127.404983349264,4.24273215242702,4.06873258447341e-05,0.0112320269231949,-0.602724993945473
"HSD3B1",-395.078711969852,4047.82886443714,-4.20269244656147,4.76010980165679e-05,0.0129555439165093,-0.677655141937711
"EFCAB8",21.5063334330322,204.757331573393,4.19224877291732,4.95818274562068e-05,0.013307211580052,-0.69712316611962
"PCSK9",157.063110366692,813.257511599932,4.18016652771206,5.19719002773308e-05,0.0137576027528649,-0.719606042874538
"IL27",3.57970927798048,15.0746794316202,4.17404080100111,5.32254618249571e-05,0.0138990381662901,-0.730988635762781
"CARNS1",132.575866961775,530.632087150674,4.17053681695137,5.39554827457024e-05,0.0139018099810394,-0.737494670359459
"HPR",43.1514099419753,73.5723955936284,4.15176317906792,5.80330402342225e-05,0.0147556640721857,-0.772291333788424
"PLAAT4",2474.98564431415,20184.6358977417,4.12627744403577,6.40428938794754e-05,0.0156957707517613,-0.819362489113927
"CASP10",1389.93284602503,12934.7033107528,4.12606881280794,6.40944665340728e-05,0.0156957707517613,-0.819747029009993
"TRPC7",8.36409499312062,90.810707070341,4.12577507731914,6.41671439344412e-05,0.0156957707517613,-0.820288407424963
"SEMA6C",-558.487827720274,6785.74590042874,-4.12116485987482,6.53182097426554e-05,0.0157039413482542,-0.828782054996346
"BACE2",697.424966202071,5745.10861851763,4.11860011168176,6.59670950803121e-05,0.0157039413482542,-0.833504490666257
"LCN2",4240.83854615064,9881.2004320389,4.11597147530448,6.66385422560984e-05,0.0157039413482542,-0.838342531321123
"SERPINA1",41156.611340133,359070.733632284,4.0482631365007,8.63668047944546e-05,0.0201078570584101,-0.962246756366839
"FRMPD2",33.6815203684872,73.9130389843112,4.03568732255324,9.05988892595391e-05,0.0208420587625159,-0.985107519362363
"SSTR5",17.2186167374526,152.895594760175,4.03099299152066,9.22288442116729e-05,0.0209674139476043,-0.993628685260707
"KRTAP5-2",4.34268828139017,15.9054354765397,4.00571308191025,0.000101499075815059,0.0228066062912813,-1.03940089165521
"NEUROD1",75.5131353113599,757.542351554801,3.98630085333921,0.000109214387433894,0.0242581473881905,-1.07441555921305
"ROBO2",-70.9875992103845,455.713406791199,-3.9626613831365,0.000119366261666572,0.0262117459141458,-1.11689753218194
"ZNF320",-327.225373452174,3777.76671209298,-3.95860922035468,0.000121194390473231,0.0263141618146598,-1.12416213490857
"ATF3",289.036943470717,2001.45147233879,3.93881205934573,0.000130516191451884,0.0280232764846246,-1.15958016598263
"WDR46",211.64538936412,431.510220159207,3.93083647403089,0.000134461403607628,0.028553100695756,-1.17381414648309
"ELAVL2",1.89148770712449,5.62610313204488,3.92453545137997,0.000137658334450093,0.0289142353794957,-1.18504540339598
"CFB",5019.13638762934,15812.7565515121,3.91835755940072,0.000140862988395031,0.0292692084703825,-1.19604504340331
"ADAMTS15",87.7424064126337,552.286517749535,3.90256400021027,0.000149381669241136,0.0304691531973542,-1.22411042670715
"EFNA2",427.828578333436,6552.50797779873,3.90182610706136,0.000149791427952217,0.0304691531973542,-1.22541974293249
"PRR5-ARHGAP8",11.4711730573668,49.3413874311259,3.89757445975418,0.000152173326459867,0.0306312225053174,-1.23296049402815
"DUOX2",3731.23144248369,7039.32017005417,3.88488610706934,0.000159497893487521,0.0317746112758026,-1.25543050373983
"TNFSF15",-357.486849075793,3322.7508292328,-3.8791031268491,0.000162946387717406,0.0321303673086852,-1.2656546743734
"C1QTNF9B",-3.84590919423342,20.7891021557233,-3.86922811381134,0.000168999576063998,0.0328373686360392,-1.28308878397702
"SMIM33",36.220462044625,279.366871469185,3.86558909190053,0.000171283681902813,0.0328373686360392,-1.28950553124596
"RAMACL",18.9792303044804,27.5246644645579,3.8650416912961,0.000171629798811838,0.0328373686360392,-1.29047040487484
"LYPD1",58.5191041454804,165.292995142844,3.86142540767395,0.000173933110510799,0.0329517983089283,-1.29684222143803
"METTL24",-35.1026370760298,323.7459540487,-3.85531073908613,0.000177894718711516,0.0333751217901101,-1.3076065987433
"DUOX1",23.9326860082552,130.785894581284,3.84849365405054,0.000182412508982618,0.0335713925000308,-1.31959336471839
