"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PNN",724.232759954886,-0.298328014523303,0.0922743657980167,-3.23305407675546,0.00122474376633122,0.0896113181277324
"AFF3",151.934379550802,-0.788757017101789,0.244200874988652,-3.22995164181308,0.00123811157684969,0.0896528758088726
"BMP2",186.482412436976,0.50522667319193,0.156554051729394,3.22717085639675,0.00125020783915696,0.0896528758088726
"EZH1",292.989000502704,-0.349211628739054,0.108266492318041,-3.22548206062886,0.00125760716983784,0.0896528758088726
"NEURL1B",993.307116007575,1.03733450230273,0.321428817455937,3.22726042584822,0.0012498165222049,0.0896528758088726
"PTGER3",23.077689255587,-0.771651420939802,0.239237545951943,-3.22546119535438,0.00125769884180067,0.0896528758088726
"SNX22",109.295599628701,-1.23572683502396,0.382941939744297,-3.22693000366869,0.00125126065369552,0.0896528758088726
"TSC22D4",278.993911237432,0.551098452781328,0.170971154400889,3.22334170762588,0.00126704305971373,0.0899329836700232
"MTMR4",627.679256118526,0.291194102351145,0.0904162382200901,3.22059519488439,0.00127924699589337,0.0904128227863534
"CHD8",649.566454622843,-0.302684037658075,0.0941936478552063,-3.21342303382664,0.00131162946357922,0.091532998994064
"DCP2",395.854337162121,-0.349419745126396,0.108734102002553,-3.21352490792807,0.00131116425112089,0.091532998994064
"HNRNPDL",1526.52472987555,-0.233761139852826,0.0727211118447384,-3.21448797911551,0.00130677386301469,0.091532998994064
"GRAP",232.335902918825,-1.0084417886808,0.313948336289131,-3.21212655751129,0.00131756319757093,0.0915623730060905
"CTSG",85.7817443848961,-0.827065659718032,0.257885186858025,-3.207108053761,0.00134076625126162,0.0920197796165467
