"gene_id","gene_name","gene_type"
"ENSG00000175279.22","CENPS","protein_coding"
"ENSG00000241563.4","CORT","protein_coding"
"ENSG00000160049.13","DFFA","protein_coding"
"ENSG00000142655.14","PEX14","protein_coding"
"ENSG00000130940.15","CASZ1","protein_coding"
"ENSG00000175262.15","CIROZ","protein_coding"
"ENSG00000120948.20","TARDBP","protein_coding"
"ENSG00000009724.19","MASP2","protein_coding"
"ENSG00000116649.11","SRM","protein_coding"
"ENSG00000171824.15","EXOSC10","protein_coding"
"ENSG00000198793.15","MTOR","protein_coding"
"ENSG00000171819.5","ANGPTL7","protein_coding"
"ENSG00000120942.14","UBIAD1","protein_coding"
"ENSG00000204624.9","DISP3","protein_coding"
"ENSG00000116661.12","FBXO2","protein_coding"
"ENSG00000132879.15","FBXO44","protein_coding"
"ENSG00000116670.18","MAD2L2","protein_coding"
"ENSG00000116663.12","FBXO6","protein_coding"
"ENSG00000162490.8","DRAXIN","protein_coding"
"ENSG00000177674.17","AGTRAP","protein_coding"
"ENSG00000215910.8","C1orf167","protein_coding"
"ENSG00000177000.14","MTHFR","protein_coding"
"ENSG00000011021.24","CLCN6","protein_coding"
"ENSG00000175206.12","NPPA","protein_coding"
"ENSG00000120937.10","NPPB","protein_coding"
"ENSG00000116685.18","KIAA2013","protein_coding"
"ENSG00000083444.18","PLOD1","protein_coding"
"ENSG00000116688.19","MFN2","protein_coding"
"ENSG00000116691.12","MIIP","protein_coding"
"ENSG00000120949.15","TNFRSF8","protein_coding"
"ENSG00000028137.20","TNFRSF1B","protein_coding"
"ENSG00000048707.15","VPS13D","protein_coding"
"ENSG00000162496.11","DHRS3","protein_coding"
"ENSG00000204518.3","AADACL4","protein_coding"
"ENSG00000188984.12","AADACL3","protein_coding"
"ENSG00000157330.10","CFAP107","protein_coding"
"ENSG00000116726.5","PRAMEF12","protein_coding"
"ENSG00000116721.9","PRAMEF1","protein_coding"
"ENSG00000239810.3","PRAMEF11","protein_coding"
"ENSG00000179172.10","HNRNPCL1","protein_coding"
"ENSG00000120952.4","PRAMEF2","protein_coding"
"ENSG00000243073.4","PRAMEF4","protein_coding"
"ENSG00000187545.6","PRAMEF10","protein_coding"
"ENSG00000204510.6","PRAMEF7","protein_coding"
"ENSG00000232423.6","PRAMEF6","protein_coding"
"ENSG00000274764.6","PRAMEF27","protein_coding"
"ENSG00000277058.3","HNRNPCL3","protein_coding"
"ENSG00000229571.7","PRAMEF25","protein_coding"
"ENSG00000275774.3","HNRNPCL2","protein_coding"
"ENSG00000280267.7","PRAMEF26","protein_coding"
"ENSG00000179412.11","HNRNPCL4","protein_coding"
"ENSG00000204505.5","PRAMEF9","protein_coding"
"ENSG00000279169.3","PRAMEF13","protein_coding"
"ENSG00000279804.3","PRAMEF18","protein_coding"
"ENSG00000270601.5","PRAMEF5","protein_coding"
"ENSG00000182330.11","PRAMEF8","protein_coding"
"ENSG00000237700.2","PRAMEF33","protein_coding"
"ENSG00000204501.7","PRAMEF15","protein_coding"
"ENSG00000204481.8","PRAMEF14","protein_coding"
"ENSG00000204480.9","PRAMEF19","protein_coding"
"ENSG00000204479.4","PRAMEF17","protein_coding"
"ENSG00000204478.11","PRAMEF20","protein_coding"
"ENSG00000162494.6","LRRC38","protein_coding"
"ENSG00000162493.18","PDPN","protein_coding"
"ENSG00000116731.23","PRDM2","protein_coding"
"ENSG00000189337.17","KAZN","protein_coding"
"ENSG00000171729.15","TMEM51","protein_coding"
"ENSG00000142621.22","FHAD1","protein_coding"
"ENSG00000142634.14","EFHD2","protein_coding"
"ENSG00000162438.12","CTRC","protein_coding"
"ENSG00000142615.9","CELA2A","protein_coding"
"ENSG00000215704.10","CELA2B","protein_coding"
"ENSG00000132906.19","CASP9","protein_coding"
"ENSG00000116138.14","DNAJC16","protein_coding"
"ENSG00000116771.7","AGMAT","protein_coding"
"ENSG00000197312.13","DDI2","protein_coding"
"ENSG00000215695.2","RSC1A1","protein_coding"
