"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"TNFAIP3",-0.715469723259813,6.0744018418489,-4.58192628014522,1.0334915561182e-05,0.145065848333382,2.99379086740459
"TSC22D3",-1.02563355180465,6.37914436853823,-4.21535272218137,4.52609332248784e-05,0.213571256910459,1.73858923763965
"DNAJB13",2.39149024417121,-0.617194390184146,4.41451773879571,2.04953162381156e-05,0.145065848333382,1.65592980342459
"DDIT4",-0.96736587657134,5.30870493322337,-3.9423372807513,0.000128716321121383,0.30826138481899,0.858716680035537
"IGSF10",-1.11148325796685,1.23187992125995,-4.01301045098242,9.86609695892664e-05,0.30826138481899,0.524340010500743
"PON2",0.568155986569872,6.04985574553978,3.74940075095824,0.000261567862258258,0.30826138481899,0.266963012063716
"PRSS16",0.514737229858501,3.35704190358217,3.69013499215207,0.000323586820176528,0.30826138481899,-0.00416942793515052
"ROBO2",-0.882851869531559,1.91704382037173,-3.74851041178281,0.000262409934397753,0.30826138481899,-0.0158485357109885
"NEURL1B",1.35642336867785,6.18612781219433,3.65387413954332,0.000368140759316352,0.30826138481899,-0.0365517301867362
"ADGRF1",1.59822621246804,0.239287334371538,3.818371614799,0.000203583536987813,0.30826138481899,-0.0610682353509535
"PIP4K2C",0.738268517044475,4.76092306289398,3.64532007229931,0.000379465892091678,0.30826138481899,-0.148489041350574
"TOB1",0.48724293360359,5.75855987300207,3.59660933795333,0.000450492015168747,0.30826138481899,-0.195996659403609
"ARGLU1",-0.445740012234902,6.44268314623594,-3.55794188957614,0.000515619492103919,0.30826138481899,-0.298593476913971
"SRXN1",0.8391570114919,4.52523922021134,3.59488302705377,0.000453225989094376,0.30826138481899,-0.320458742073146
"SYT12",1.62267101051142,-0.408319919204302,3.70517735903153,0.000306644726423371,0.30826138481899,-0.393981601781991
"GPRASP2",-2.33185534393874,-0.239148658269064,-3.8004485302078,0.000217350608102396,0.30826138481899,-0.421419838792101
"XAF1",-0.649470307513599,5.85813277012509,-3.51031561818621,0.000608045262689773,0.30826138481899,-0.432088431900501
"IFT27",0.601457852614779,3.41400223268664,3.54070546557709,0.000547424196483169,0.30826138481899,-0.488364126647374
